caseId,nytSalience,cqSalience
1948-097,0,0
1948-098,1,0
1948-099,0,0
1948-100,0,0
1948-101,0,0
1948-102,0,0
1948-103,0,0
1948-104,1,0
1948-105,0,0
1948-106,0,0
1948-107,0,0
1948-108,0,0
1948-109,0,0
1948-110,0,0
1948-111,0,0
1948-112,0,0
1948-113,0,0
1948-114,1,1
1948-115,0,0
1948-116,0,0
1948-117,0,0
1948-118,0,0
1948-119,0,0
1948-120,0,0
1948-121,0,0
1948-122,0,0
1949-001,0,0
1949-002,0,0
1949-003,1,0
1949-004,0,0
1949-005,0,0
1949-006,0,0
1949-007,0,0
1949-008,0,0
1949-009,0,0
1949-010,0,0
1949-011,0,0
1949-012,0,0
1949-013,0,0
1949-014,1,0
1949-015,0,0
1949-016,0,0
1949-017,0,0
1949-018,0,0
1949-019,0,0
1949-020,0,0
1949-021,0,0
1949-022,0,0
1949-023,0,0
1949-024,0,0
1949-025,0,0
1949-026,0,0
1949-027,0,0
1949-028,0,0
1949-029,0,0
1949-030,0,0
1949-031,0,0
1949-032,0,0
1949-033,0,0
1949-034,0,0
1949-035,0,0
1949-036,0,0
1949-037,0,0
1949-038,0,0
1949-039,0,0
1949-040,0,0
1949-041,0,0
1949-042,0,0
1949-043,0,0
1949-044,0,0
1949-045,0,0
1949-046,0,0
1949-047,0,0
1949-048,1,0
1949-049,1,1
1949-050,0,0
1949-051,0,0
1949-052,0,0
1949-053,0,0
1949-054,0,0
1949-055,0,0
1949-056,0,0
1949-057,0,0
1949-058,0,0
1949-059,0,0
1949-060,0,0
1949-061,0,0
1949-062,1,0
1949-063,0,0
1949-064,0,0
1949-065,0,0
1949-066,0,0
1949-067,0,0
1949-068,0,0
1949-069,0,0
1949-070,1,1
1949-071,1,0
1949-072,0,0
1949-073,0,0
1949-074,0,0
1949-075,0,0
1949-076,0,0
1949-077,0,0
1949-078,0,0
1949-079,0,0
1949-080,0,0
1949-081,0,0
1949-082,0,0
1949-083,0,0
1949-084,1,1
1949-085,1,1
1949-086,0,0
1949-087,0,0
1949-088,0,0
1949-089,0,0
1949-090,0,0
1949-091,0,0
1949-092,0,0
1949-093,1,0
1949-094,0,0
1949-095,0,0
1949-096,0,0
1949-097,0,0
1950-001,0,0
1950-002,0,0
1950-003,0,0
1950-004,0,0
1950-005,0,0
1950-006,0,0
1950-007,0,0
1950-008,0,0
1950-009,0,0
1950-010,0,0
1950-011,0,0
1950-012,0,0
1950-013,0,0
1950-014,0,0
1950-015,1,0
1950-016,0,0
1950-017,0,0
1950-018,0,0
1950-019,0,0
1950-020,0,0
1950-021,0,0
1950-022,0,0
1950-023,0,0
1950-024,1,0
1950-025,1,1
1950-026,1,1
1950-027,0,0
1950-028,0,0
1950-029,0,0
1950-030,0,0
1950-031,0,0
1950-032,0,0
1950-033,0,0
1950-034,0,0
1950-035,0,0
1950-036,0,0
1950-037,0,0
1950-038,0,0
1950-039,0,0
1950-040,0,0
1950-041,0,0
1950-042,0,0
1950-043,0,0
1950-044,0,0
1950-045,0,0
1950-046,0,0
1950-047,0,0
1950-048,0,0
1950-049,0,0
1950-050,0,0
1950-051,0,0
1950-052,0,0
1950-053,0,0
1950-054,0,0
1950-055,0,0
1950-056,0,0
1950-057,0,0
1950-058,0,0
1950-059,0,0
1950-060,1,0
1950-061,0,0
1950-062,0,0
1950-063,0,0
1950-064,0,0
1950-065,0,0
1950-066,0,0
1950-067,0,0
1950-068,1,1
1950-069,0,0
1950-070,0,0
1950-071,0,0
1950-072,0,0
1950-073,0,0
1950-074,0,0
1950-075,0,0
1950-076,0,0
1950-077,0,0
1950-078,0,0
1950-079,0,0
1950-080,0,0
1950-081,0,0
1950-082,1,0
1950-083,0,0
1950-084,0,0
1950-085,0,0
1950-086,0,0
1950-087,0,0
1950-088,0,0
1950-089,1,1
1950-090,0,0
1950-091,0,0
1950-092,0,0
1950-093,0,0
1950-094,0,0
1950-095,0,0
1950-096,0,0
1950-097,0,0
1950-098,1,1
1950-099,0,0
1951-001,1,1
1951-002,0,0
1951-003,0,0
1951-004,0,0
1951-005,0,0
1951-006,0,0
1951-007,0,0
1951-008,0,0
1951-009,0,0
1951-010,0,0
1951-011,0,0
1951-012,0,0
1951-013,0,0
1951-014,0,0
1951-015,0,0
1951-016,0,0
1951-017,0,0
1951-018,0,0
1951-019,1,1
1951-020,0,0
1951-021,0,0
1951-022,0,0
1951-023,0,0
1951-024,0,0
1951-025,0,0
1951-026,0,0
1951-027,0,0
1951-028,0,0
1951-029,0,0
1951-030,0,0
1951-031,0,0
1951-032,0,0
1951-033,0,0
1951-034,0,0
1951-035,0,0
1951-036,0,0
1951-037,0,0
1951-038,0,0
1951-039,0,0
1951-040,0,0
1951-041,0,0
1951-042,0,0
1951-043,0,0
1951-044,0,0
1951-045,0,0
1951-046,0,0
1951-047,1,0
1951-048,0,0
1951-049,0,0
1951-050,0,0
1951-051,0,0
1951-052,0,0
1951-053,0,0
1951-054,1,1
1951-055,0,0
1951-056,1,0
1951-057,0,0
1951-058,0,0
1951-059,0,0
1951-060,0,0
1951-061,0,0
1951-062,1,0
1951-063,0,0
1951-064,0,0
1951-065,0,0
1951-066,0,0
1951-067,0,0
1951-068,0,0
1951-069,0,0
1951-070,0,0
1951-071,0,0
1951-072,1,0
1951-073,0,0
1951-074,0,0
1951-075,0,0
1951-076,0,0
1951-077,0,0
1951-078,0,0
1951-079,0,0
1951-080,0,0
1951-081,0,0
1951-082,1,0
1951-083,0,0
1951-084,1,0
1951-085,0,0
1951-086,0,0
1951-087,0,0
1951-088,1,1
1951-089,0,0
1951-090,0,0
1951-091,0,0
1951-092,1,0
1951-093,0,0
1951-094,0,0
1951-095,0,0
1952-001,0,0
1952-002,0,0
1952-003,0,0
1952-004,0,0
1952-005,0,0
1952-006,0,0
1952-007,0,0
1952-008,0,0
1952-009,0,0
1952-010,0,0
1952-011,0,0
1952-012,0,0
1952-013,0,0
1952-014,0,0
1952-015,0,0
1952-016,1,0
1952-017,1,0
1952-018,0,0
1952-019,0,0
1952-020,0,0
1952-021,1,0
1952-022,0,0
1952-023,1,0
1952-024,0,0
1952-025,0,0
1952-026,0,0
1952-027,0,0
1952-028,0,0
1952-029,0,0
1952-030,0,0
1952-031,0,0
1952-032,0,0
1952-033,0,0
1952-034,0,0
1952-035,0,0
1952-036,0,0
1952-037,0,0
1952-038,0,0
1952-039,0,0
1952-040,0,0
1952-041,0,0
1952-042,0,0
1952-043,0,0
1952-044,0,0
1952-045,0,0
1952-046,0,0
1952-047,0,0
1952-048,0,0
1952-049,0,0
1952-050,0,0
1952-051,0,0
1952-052,0,0
1952-053,0,0
1952-054,1,0
1952-055,0,0
1952-056,0,0
1952-057,0,0
1952-058,0,0
1952-059,0,0
1952-060,0,0
1952-061,0,0
1952-062,0,0
1952-063,0,0
1952-064,0,0
1952-065,0,0
1952-066,0,0
1952-067,0,0
1952-068,0,0
1952-069,0,0
1952-070,0,0
1952-071,0,0
1952-072,0,0
1952-073,0,0
1952-074,0,0
1952-075,0,0
1952-076,0,0
1952-077,0,0
1952-078,0,0
1952-079,0,0
1952-080,0,0
1952-081,0,0
1952-082,0,0
1952-083,0,0
1952-084,0,1
1952-085,0,0
1952-086,0,0
1952-087,0,0
1952-088,0,0
1952-089,0,0
1952-090,0,0
1952-091,0,0
1952-092,0,0
1952-093,0,0
1952-094,0,0
1952-095,0,0
1952-096,0,0
1952-097,0,0
1952-098,0,0
1952-099,0,0
1952-100,0,0
1952-101,0,0
1952-102,0,0
1952-103,0,0
1952-104,1,0
1952-105,0,0
1952-106,0,0
1952-107,0,0
1952-108,0,0
1952-109,1,0
1952-110,1,0
1952-111,1,0
1952-112,0,0
1952-113,1,1
1952-114,1,1
1952-115,0,0
1952-116,0,0
1953-001,0,0
1953-002,0,0
1953-003,0,0
1953-004,0,0
1953-005,0,0
1953-006,0,0
1953-007,1,0
1953-008,0,0
1953-009,0,0
1953-010,0,0
1953-011,0,0
1953-012,0,0
1953-013,0,0
1953-014,0,0
1953-015,0,0
1953-016,0,0
1953-017,1,0
1953-018,0,0
1953-019,0,0
1953-020,0,0
1953-021,0,0
1953-022,0,0
1953-023,0,0
1953-024,0,0
1953-025,0,0
1953-026,0,0
1953-027,1,0
1953-028,0,0
1953-029,0,0
1953-030,0,0
1953-031,0,0
1953-032,0,0
1953-033,0,0
1953-034,0,0
1953-035,0,0
1953-036,0,0
1953-037,0,0
1953-038,0,0
1953-039,0,0
1953-040,0,0
1953-041,0,0
1953-042,1,0
1953-043,0,0
1953-044,0,0
1953-045,0,0
1953-046,0,0
1953-047,0,0
1953-048,0,0
1953-049,0,0
1953-050,0,0
1953-051,0,0
1953-052,0,0
1953-053,0,0
1953-054,1,0
1953-055,1,0
1953-056,0,0
1953-057,0,0
1953-058,0,0
1953-059,0,0
1953-060,0,0
1953-061,0,0
1953-062,0,0
1953-063,0,0
1953-064,0,0
1953-065,0,0
1953-066,0,0
1953-067,0,0
1953-068,1,0
1953-069,1,1
1953-070,1,1
1953-071,0,0
1953-072,0,0
1953-073,0,0
1953-074,0,0
1953-075,1,0
1953-076,0,0
1953-077,1,0
1953-078,0,0
1953-079,0,0
1953-080,1,0
1953-081,0,0
1953-082,0,0
1953-083,0,0
1953-084,0,0
1953-085,0,0
1953-086,0,0
1953-087,0,0
1953-088,0,0
1954-001,0,0
1954-002,0,0
1954-003,0,0
1954-004,0,0
1954-005,0,0
1954-006,0,0
1954-007,0,0
1954-008,0,0
1954-009,0,0
1954-010,0,0
1954-011,0,0
1954-012,0,0
1954-013,0,0
1954-014,1,0
1954-015,0,0
1954-016,0,0
1954-017,0,0
1954-018,0,0
1954-019,0,0
1954-020,0,0
1954-021,0,0
1954-022,0,0
1954-023,0,0
1954-024,0,0
1954-025,0,0
1954-026,1,0
1954-027,0,0
1954-028,0,0
1954-029,0,0
1954-030,0,0
1954-031,0,0
1954-032,0,0
1954-033,0,0
1954-034,0,0
1954-035,1,0
1954-036,0,0
1954-037,0,0
1954-038,0,0
1954-039,0,0
1954-040,0,0
1954-041,0,0
1954-042,0,0
1954-043,0,0
1954-044,0,0
1954-045,0,0
1954-046,0,0
1954-047,0,0
1954-048,0,0
1954-049,0,0
1954-050,0,0
1954-051,0,0
1954-052,0,0
1954-053,0,0
1954-054,0,0
1954-055,0,0
1954-056,0,0
1954-057,0,0
1954-058,0,0
1954-059,0,0
1954-060,0,0
1954-061,0,0
1954-062,0,0
1954-063,0,0
1954-064,0,0
1954-065,1,0
1954-066,0,0
1954-067,0,0
1954-068,0,0
1954-069,0,0
1954-070,1,0
1954-071,0,0
1954-072,0,0
1954-073,0,0
1954-074,0,0
1954-075,0,0
1954-076,0,0
1954-077,0,0
1954-078,1,0
1954-079,1,0
1954-080,1,0
1954-081,0,0
1954-082,0,0
1954-083,0,0
1954-084,0,0
1954-085,1,1
1954-086,0,0
1954-087,0,0
1954-088,1,0
1954-089,0,0
1954-090,0,0
1954-091,0,0
1954-092,0,0
1954-093,0,0
1954-094,0,0
1954-095,0,0
1954-096,0,0
1954-097,0,0
1954-098,0,0
1955-001,0,0
1955-002,0,0
1955-003,0,0
1955-004,1,0
1955-005,0,0
1955-006,0,0
1955-007,0,0
1955-008,0,0
1955-009,0,0
1955-010,0,0
1955-011,0,0
1955-012,0,0
1955-013,0,0
1955-014,0,0
1955-015,0,0
1955-016,0,0
1955-017,0,0
1955-018,0,0
1955-019,0,0
1955-020,0,0
1955-021,0,0
1955-022,0,0
1955-023,1,0
1955-024,1,0
1955-025,0,0
1955-026,0,0
1955-027,0,0
1955-028,0,0
1955-029,0,0
1955-030,0,0
1955-031,0,0
1955-032,0,0
1955-033,0,0
1955-034,0,0
1955-035,0,0
1955-036,0,0
1955-037,0,0
1955-038,0,0
1955-039,0,0
1955-040,0,0
1955-041,1,1
1955-042,0,0
1955-043,0,0
1955-044,0,0
1955-045,0,0
1955-046,0,0
1955-047,0,0
1955-048,0,0
1955-049,1,1
1955-050,0,0
1955-051,0,0
1955-052,0,0
1955-053,0,0
1955-054,0,0
1955-055,1,1
1955-056,0,0
1955-057,0,0
1955-058,0,0
1955-059,0,0
1955-060,0,0
1955-061,0,0
1955-062,0,0
1955-063,0,0
1955-064,0,0
1955-065,0,0
1955-066,0,0
1955-067,0,0
1955-068,0,0
1955-069,0,0
1955-070,0,0
1955-071,0,0
1955-072,0,0
1955-073,0,0
1955-074,0,0
1955-075,0,0
1955-076,0,0
1955-077,0,0
1955-078,0,0
1955-079,0,0
1955-080,0,0
1955-081,0,0
1955-082,0,0
1955-083,1,0
1955-084,0,0
1955-085,0,0
1955-086,0,0
1955-087,0,0
1955-088,0,0
1955-089,0,0
1955-090,0,0
1955-091,0,0
1955-092,0,0
1955-093,0,0
1955-094,0,0
1955-095,0,0
1955-096,0,0
1955-097,0,0
1955-098,0,0
1955-099,0,0
1955-100,0,0
1955-101,0,0
1955-102,1,0
1955-103,0,0
1955-104,0,0
1956-001,0,0
1956-002,0,0
1956-003,0,0
1956-004,0,0
1956-005,0,0
1956-006,0,0
1956-007,0,0
1956-008,0,0
1956-009,0,0
1956-010,0,0
1956-011,0,0
1956-012,0,0
1956-013,0,0
1956-014,0,0
1956-015,1,0
1956-016,0,0
1956-017,0,0
1956-018,0,0
1956-019,0,0
1956-020,0,0
1956-021,0,0
1956-022,0,0
1956-023,0,0
1956-024,0,0
1956-025,0,0
1956-026,0,0
1956-027,1,0
1956-028,0,0
1956-029,0,0
1956-030,0,0
1956-031,0,0
1956-032,0,0
1956-033,0,0
1956-034,0,0
1956-035,0,0
1956-036,0,0
1956-037,1,0
1956-038,0,0
1956-039,0,0
1956-040,0,0
1956-041,0,0
1956-042,1,0
1956-043,0,0
1956-044,0,0
1956-045,0,0
1956-046,0,0
1956-047,0,0
1956-048,0,0
1956-049,0,0
1956-050,1,0
1956-051,0,0
1956-052,0,0
1956-053,0,0
1956-054,0,0
1956-055,0,0
1956-056,0,0
1956-057,0,0
1956-058,0,0
1956-059,0,0
1956-060,0,0
